"siparis_id","kategori_adi","urun_adi","siparis_tarihi","ulke","durdurulan","toplam"
10248,"Dairy Products","Queso Cabrales","1996-07-04","UK",0,"168.00"
10248,"Grains/Cereals","Singaporean Hokkien Fried Mee","1996-07-04","UK",1,"98.00"
10248,"Dairy Products","Mozzarella di Giovanni","1996-07-04","UK",0,"174.00"
10249,"Produce","Tofu","1996-07-05","UK",0,"167.40"
10249,"Produce","Manjimup Dried Apples","1996-07-05","UK",0,"1696.00"
10250,"Seafood","Jack's New England Clam Chowder","1996-07-08","USA",0,"77.00"
10250,"Produce","Manjimup Dried Apples","1996-07-08","USA",0,"1484.00"
10250,"Condiments","Louisiana Fiery Hot Pepper Sauce","1996-07-08","USA",0,"252.00"
10251,"Grains/Cereals","Gustaf's Knäckebröd","1996-07-08","USA",0,"100.80"
10251,"Grains/Cereals","Ravioli Angelo","1996-07-08","USA",0,"234.00"
10251,"Condiments","Louisiana Fiery Hot Pepper Sauce","1996-07-08","USA",0,"336.00"
10252,"Confections","Sir Rodney's Marmalade","1996-07-09","USA",0,"2592.00"
10252,"Dairy Products","Geitost","1996-07-09","USA",0,"50.00"
10252,"Dairy Products","Camembert Pierrot","1996-07-09","USA",0,"1088.00"
10253,"Dairy Products","Gorgonzola Telino","1996-07-10","USA",0,"200.00"
10253,"Beverages","Chartreuse verte","1996-07-10","USA",0,"604.80"
10253,"Confections","Maxilaku","1996-07-10","USA",0,"640.00"
10254,"Beverages","Guaraná Fantástica","1996-07-11","UK",1,"54.00"
10254,"Meat/Poultry","Pâté chinois","1996-07-11","UK",0,"403.20"
10254,"Produce","Longlife Tofu","1996-07-11","UK",0,"168.00"
10255,"Beverages","Chang","1996-07-12","UK",1,"304.00"
10255,"Confections","Pavlova","1996-07-12","UK",0,"486.50"
10255,"Seafood","Inlagd Sill","1996-07-12","UK",0,"380.00"
10255,"Dairy Products","Raclette Courdavault","1996-07-12","UK",0,"1320.00"
10256,"Meat/Poultry","Perth Pasties","1996-07-15","USA",1,"393.00"
10256,"Condiments","Original Frankfurter grüne Soße","1996-07-15","USA",0,"124.80"
10257,"Confections","Schoggi Schokolade","1996-07-16","USA",0,"877.50"
10257,"Beverages","Chartreuse verte","1996-07-16","USA",0,"86.40"
10257,"Condiments","Original Frankfurter grüne Soße","1996-07-16","USA",0,"156.00"
10258,"Beverages","Chang","1996-07-17","USA",1,"760.00"
10258,"Condiments","Chef Anton's Gumbo Mix","1996-07-17","USA",1,"1105.00"
10258,"Dairy Products","Mascarpone Fabioli","1996-07-17","USA",0,"153.60"
10259,"Confections","Sir Rodney's Scones","1996-07-18","USA",0,"80.00"
10259,"Seafood","Gravad lax","1996-07-18","USA",0,"20.80"
10260,"Seafood","Jack's New England Clam Chowder","1996-07-19","USA",0,"123.20"
10260,"Grains/Cereals","Ravioli Angelo","1996-07-19","USA",0,"780.00"
10260,"Confections","Tarte au sucre","1996-07-19","USA",0,"591.00"
10260,"Beverages","Outback Lager","1996-07-19","USA",0,"252.00"
10261,"Confections","Sir Rodney's Scones","1996-07-19","USA",0,"160.00"
10261,"Beverages","Steeleye Stout","1996-07-19","USA",0,"288.00"
10262,"Condiments","Chef Anton's Gumbo Mix","1996-07-22","USA",1,"204.00"
10262,"Produce","Uncle Bob's Organic Dried Pears","1996-07-22","USA",0,"360.00"
